ID,Age,Sex,Occupation,Prefecture,Context_Summary,Survey_Answer
32427d79e9a84c369f2b1d3973f01f89,60,男,冠婚葬祭業 中小,沖縄県,西川 圭人は、葬祭実務とデジタル記録の融合を追求し、文化的実...,
9cf74198ed1342f7b15eff74d49ebbef,60,男,小売業 中堅,東京都,浜田 孝昌は、調和と合理性を重んじる関東の小売リーダーで、組...,
2e0c56045c19496aa05c2966daced699,57,男,農業,茨城県,椎名 幸二郎は、農業と教育を結びつけた地域協働の実践者として...,
66ee4c5a166440d6b10ba42eb04073b5,34,男,国家公務員,佐賀県,小林 正昭は、階層的礼儀と紙ベース正確性を軸に、批判的かつ競...,
595969892d284f5580b3bfeabef26065,64,女,農業,宮崎県,金井 悦は、構造と柔軟性のバランスを保ち、予算・健康・芸術・...,
3c89932f3fc04531b3a5d305fb5d4b2e,41,男,製版業 中堅,岐阜県,伊東 孝基は実務重視の印刷技術者で、地域の祭り奉仕とガーデニ...,
46b68589223749959fddee81ffeaa8d1,46,女,小売業 中堅,千葉県,下タ村 三紀は、柔軟な店長志向と季節感を重視した趣味・生活習...,
44893accf8db414789cc233aeb8f18e7,78,男,輸送用機械器具製造業 中堅 (現在は引退),兵庫県,中島 欣三は、品質管理と安全基準に根ざした技術指導を通じ、地...,
01f3e4abdd0344b5a3d8f9dac8719a1c,75,女,輸送用機械器具製造業 中小 (現在は引退),愛知県,青木 満枝は、技術と伝統の両方で高い開放性と誠実性を示し、競...,
7e31eb96ded24a62a0f765d83a1452e1,87,女,情報サービス業 中小,神奈川県,片柳 友璃は組織的計画と芸術的好奇心を両立させ、情報管理と抽...,
